"X","Y","type","REACTOME","loadings.x","weight.x","importance.x","loadings.y","weight.y","importance.y","FoldChanges"
"ENSG00000269981","ENSG00000269981","mRNA","ENSG00000269981",0.0173059120458766,0.0177530140234555,2.21242622452814,0.00364669324472237,0.0177530140234555,0.420667856892998,0.515638633760767
"ENSG00000279457","WASH9P","mRNA","ENSG00000279457",-0.00180946107419283,-0.00207041847556371,0.231325521717355,-0.0100142704587644,-0.00207041847556371,1.15520593851211,-0.0408042768556998
"ENSG00000225630","MTND2P28","mRNA","ENSG00000225630",0.00659148012144594,0.00659736443868302,0.842669455414087,-0.0107413734950402,0.00659736443868302,1.2390816186103,0.0917134115897333
"ENSG00000237973","MTCO1P12","mRNA","ENSG00000237973",0.00182720529985374,0.00154578409875533,0.233593982927725,-0.00921647039519137,0.00154578409875533,1.06317493385931,0.0207332167359002
"ENSG00000229344","MTCO2P12","mRNA","ENSG00000229344",0.00621704502580486,0.00643550747998986,0.794800841336772,0.0284742377575737,0.00643550747998986,3.28467347547686,0.26863792944396
"ENSG00000248527","MTATP6P1","mRNA","ENSG00000248527",0.00865219379553645,0.00867167417971961,1.10611566742046,-0.010631732010571,0.00867167417971961,1.2264338182051,0.135587559501666
"ENSG00000198744","MTCO3P12","mRNA","ENSG00000198744",0.020406684848403,0.0207447629813087,2.60883590501346,0.0171924381940057,0.0207447629813087,1.98325048050164,0.685357813608653
"ENSG00000228327","ENSG00000228327","mRNA","ENSG00000228327",0.0167609750018302,0.0172025510183372,2.14276026275917,-0.00440595772348976,0.0172025510183372,0.508253551565919,0.395010592958809
"ENSG00000237491","LINC01409","mRNA","ENSG00000237491",-0.00464995686245719,-0.00451066078532077,0.594460810742191,0.00290947067915399,-0.00451066078532077,0.335624828620841,-0.129010937769217
"ENSG00000228794","LINC01128","mRNA","ENSG00000228794",0.00416614356255373,0.00411121322321976,0.53260904415258,-0.0089630496235167,0.00411121322321976,1.03394133351006,0.0457535490977339
"ENSG00000225880","LINC00115","mRNA","ENSG00000225880",0.0110097638081475,0.0107757797784915,1.4075126529266,0.0105834160568404,0.0107757797784915,1.22086028422633,0.215051852321367
"ENSG00000188976","NOC2L","mRNA","ENSG00000188976",-0.00137760754572946,-0.00136366878670531,0.176116407687736,-0.00700881543797602,-0.00136366878670531,0.808508742521445,-0.0197594574162334
"ENSG00000187961","KLHL17","mRNA","ENSG00000187961",0.000587832630258235,0.000718863825560755,0.0751498287619314,-0.00947549286527677,0.000718863825560755,1.09305472359366,0.00423014494115925
"ENSG00000187583","PLEKHN1","mRNA","ENSG00000187583",0.00637933226234841,0.00649284647182563,0.815548002022862,-0.00611705234166912,0.00649284647182563,0.705638540558997,0.0716949504416373
